"Long" "Lat" "SiteNum" "Name" "State" "First" "Last" "PercComp" "Elev" "Dist"
"123.46" "-18.51" "003068" "DAMPIER DOWNS" "WA" "1973" "2016" "0.95" "120" NA
"123.78" "-16.13" "003069" "KOOLAN ISLAND" "WA" "1974" "1992" "0.99" "152" NA
"123.07" "-16.45" "003072" "ONE ARM POINT" "WA" "1975" "1993" "1" "2" NA
"123.84" "-16.69" "003073" "KIMBOLTON" "WA" "1970" "2016" "0.64" "25" NA
"123.47" "-17.93" "003074" "YAKKAMUNGA" "WA" "1983" "2011" "0.91" "50" NA
"123.65" "-17.31" "003075" "DERBY MAIN ROADS" "WA" "1983" "2016" "0.47" "18" NA
"125.39" "-19.33" "003076" "WESTERN FIELD" "WA" "1983" "1985" "0.72" "240" NA
"123.61" "-18.59" "003077" "MOWLA BLUFF" "WA" "1985" "1995" "1" "120" NA
"125.99" "-18.73" "003078" "CADJEBUT" "WA" "1987" "2003" "0.87" "200" NA
"121.72" "-18.99" "003079" "SHELAMAR" "WA" "1989" "2015" "0.38" "20" NA
"123.83" "-17.58" "003080" "CURTIN AERO" "WA" "1989" "2016" "0.78" "78" NA
"123.82" "-17.58" "003081" "CURTIN" "WA" "1990" "1995" "0.94" "91" NA
"122.36" "-17.87" "003082" "KIRBY GARDENS" "WA" "1991" "2011" "0.98" "40" NA
"122.34" "-17.98" "003083" "BROOME BIRD OBSERVATORY" "WA" "1991" "1997" "0.9" "15" NA
"123.68" "-17.34" "003084" "DERBY (MANNING RD)" "WA" "1992" "2016" "0.98" "10" NA
"123.04" "-17.43" "003085" "MOUNT JOWLAENGA" "WA" "1992" "2002" "0.87" "80" NA
"123.65" "-17.73" "003086" "WILLARE BRIDGE" "WA" "1992" "2016" "0.68" "20" NA
"122.15" "-17.56" "003087" "TANJUNGPANDAN" "WA" "1993" "2000" "0.84" "15" NA
"126.52" "-18.84" "003088" "LARRAWA" "WA" "1995" "2008" "0.92" "260" NA
"122.23" "-17.95" "003089" "BROOME COMPARISON" "WA" "1995" "2000" "0.41" "7" NA
"124.08" "-17.8" "003090" "DEBESA" "WA" "1995" "2016" "0.72" "100" NA
"125.85" "-18.99" "003091" "BEEFWOOD PARK" "WA" "1996" "2011" "0.86" "200" NA
"122.27" "-17.86" "003092" "SOUTH EAST WATERBANK" "WA" "1996" "1999" "0.7" "41" NA
"125.56" "-18.18" "003093" "FITZROY CROSSING AERO" "WA" "1997" "2016" "0.95" "115" NA
"124.92" "-17.42" "003094" "WINDJANA GORGE" "WA" "1997" "2016" "0.9" "95" NA
"125.78" "-18.32" "003095" "PILLARA SPRINGS" "WA" "1998" "2003" "0.99" "160" NA
"125.71" "-17.05" "003098" "MOUNT HOUSE AIRSTRIP" "WA" "2002" "2016" "0.93" "270" NA
"124.27" "-17.95" "003100" "LIVERINGA STATION" "WA" "2001" "2016" "0.96" "55" NA
"123.47" "-18.51" "003101" "DAMPIER DOWNS AIRSTRIP" "WA" "2006" "2016" "0.88" "140" NA
"122.58" "-16.77" "003103" "MIDDLE LAGOON" "WA" "2004" "2011" "0.22" "15" NA
"123.17" "-17.65" "003104" "BIDAN" "WA" "2005" "2013" "0.3" "50" NA
"125.34" "-18.11" "003105" "LAUREL DOWNS" "WA" "2007" "2016" "0.75" "175" NA
"124.84" "-17.57" "003106" "ELLENDALE MINESITE" "WA" "2007" "2015" "0.79" "125" NA
"123.7" "-16.19" "003107" "SILVER GULL CREEK" "WA" "2014" "2014" "0.08" NA NA
"118.93" "-21.42" "004000" "ABYDOS" "WA" "1917" "1974" "0.69" "226" NA
"117.12" "-20.9" "004001" "WOODBROOK" "WA" "1897" "1974" "0.89" NA NA
"118.57" "-20.31" "004002" "PORT HEDLAND POST OFFICE" "WA" "1897" "1948" "0.89" "8" NA
"120.86" "-22.8" "004003" "BALFOUR DOWNS" "WA" "1907" "1998" "0.7" "500" NA
"120.21" "-20.93" "004004" "BAMBOO CREEK" "WA" "1897" "2015" "0.73" "250" NA
"119.63" "-22.05" "004005" "BAMBOO SPRINGS" "WA" "1905" "1978" "0.96" "400" NA
"119.94" "-22.18" "004006" "BONNEY DOWNS" "WA" "1907" "2016" "0.98" "480" NA
"118.47" "-20.4" "004007" "BOODARIE" "WA" "1887" "1973" "0.85" "6" NA
"119.24" "-20.64" "004008" "CARLINDIE" "WA" "1907" "2016" "0.59" "120" NA
"119.67" "-20.68" "004009" "COONGAN STATION" "WA" "1904" "1974" "0.91" NA NA
"117.13" "-21.03" "004010" "COOYA POOYA" "WA" "1900" "1974" "0.92" "200" NA
"119.83" "-21.47" "004011" "CORUNNA DOWNS" "WA" "1897" "1975" "0.79" "400" NA
"119.19" "-20.18" "004012" "DE GREY" "WA" "1888" "2014" "0.66" "15" NA
"119.67" "-20.52" "004013" "ETTRICK" "WA" "1901" "1964" "0.89" NA NA
"119.77" "-20.85" "004014" "EGINBAH" "WA" "1930" "1974" "0.65" NA NA
"119.4" "-21.72" "004015" "HILLSIDE STATION" "WA" "1917" "2016" "0.79" "271" NA
"118.6" "-20.79" "004016" "INDEE" "WA" "1909" "2016" "0.9" "80" NA
"118.1" "-21.15" "004017" "STATION PEAK" "WA" "1904" "1911" "0.74" NA NA
"119.82" "-21.18" "004018" "LIMESTONE" "WA" "1925" "1967" "0.61" NA NA
"120.84" "-19.74" "004019" "MANDORA" "WA" "1913" "2016" "0.91" "8" NA
"119.75" "-21.18" "004020" "MARBLE BAR COMPARISON" "WA" "1895" "2006" "0.96" "182" NA
"120.06" "-21.31" "004021" "MOUNT EDGAR" "WA" "1901" "1999" "0.76" "270" NA
"120.05" "-20.63" "004022" "MUCCAN" "WA" "1898" "1998" "0.71" "85" NA
"119.52" "-20.46" "004023" "MULYIE" "WA" "1888" "1998" "0.8" "30" NA
"118.06" "-20.52" "004024" "MUNDABULLANGANA" "WA" "1899" "2015" "0.67" "20" NA
"119.8" "-20.5" "004025" "NIMINGARRA" "WA" "1909" "1966" "0.96" NA NA
"120.18" "-22.29" "004026" "NOREENA DOWNS" "WA" "1911" "2015" "0.9" "495" NA
"120.11" "-21.89" "004027" "NULLAGINE" "WA" "1897" "2004" "0.85" "380" NA
"119.58" "-20.11" "004028" "PARDOO STATION" "WA" "1904" "2016" "0.9" "9" NA
"119.4" "-21.4" "004030" "PILGA" "WA" "1915" "1961" "0.89" NA NA
"117.19" "-20.63" "004031" "POINT SAMSON" "WA" "1949" "1984" "0.85" "30" NA
"118.63" "-20.37" "004032" "PORT HEDLAND AIRPORT" "WA" "1942" "2016" "0.98" "6" NA
"117.44" "-21.06" "004033" "PYRAMID STATION" "WA" "1951" "2016" "0.88" "40" NA
"121.4" "-22.02" "004034" "RPF 734 MILE" "WA" "1913" "1947" "0.95" NA NA
"117.15" "-20.78" "004035" "ROEBOURNE" "WA" "1887" "2015" "0.91" "12" NA
"119.06" "-20.47" "004036" "STRELLEY" "WA" "1906" "2015" "0.76" "67" NA
"120" "-21.05" "004037" "TALGA TALGA" "WA" "1897" "1970" "0.84" "200" NA
"118.82" "-20.75" "004038" "WALLAREENYA" "WA" "1908" "2016" "0.72" "97" NA
"117.37" "-20.95" "004039" "WARAMBIE" "WA" "1937" "2014" "0.99" "30" NA
"119.59" "-20.65" "004040" "WARRALONG" "WA" "1899" "1984" "0.83" "84" NA
"120.7" "-20.85" "004041" "WARRAWAGINE" "WA" "1897" "2016" "0.82" "159" NA
"117.84" "-20.84" "004042" "WHIM CREEK" "WA" "1897" "2013" "0.52" "32" NA
"119.01" "-21.99" "004043" "REDMONT" "WA" "1925" "2012" "0.5" "387" NA
"121.3" "-19.5" "004044" "WIDJUP OUTCAMP" "WA" "1921" "1948" "0.74" NA NA
"118.96" "-21.62" "004045" "ABYDOS WOODSTOCK" "WA" "1901" "1997" "0.67" "250" NA
"120.2" "-20.67" "004046" "YARRIE" "WA" "1898" "2016" "0.85" "100" NA
"118.9" "-20.83" "004047" "TABBA TABBA" "WA" "1924" "1976" "0.97" "120" NA
"118.4" "-21.29" "004048" "YANDEEARRA" "WA" "1902" "1999" "0.41" "120" NA
"119.6" "-21.6" "004049" "SPLIT ROCK" "WA" "1927" "1949" "0.96" NA NA
"119.7" "-21.6" "004050" "YALGOORA" "WA" "1937" "1949" "0.95" NA NA
"117.8" "-20.6" "004051" "BALLA BALLA" "WA" "1898" "1927" "0.42" NA NA
"120.65" "-20.57" "004052" "RPF 80 MILE" "WA" "1909" "1943" "0.8" NA NA
"119.4" "-20" "004053" "CONDON" "WA" "1889" "1927" "0.91" NA NA
"117.19" "-20.68" "004054" "COSSACK" "WA" "1881" "2015" "0.32" "7" NA
"117.8" "-21.1" "004055" "CROYDON" "WA" "1900" "1946" "0.45" NA NA
"118.52" "-21.1" "004056" "KANGAN" "WA" "1935" "1945" "0.76" NA NA
"119.15" "-20.88" "004057" "LALLA ROOKH" "WA" "1917" "1973" "0.57" "120" NA
"121.02" "-20.7" "004058" "LOCHNAVAR" "WA" "1912" "1919" "0.96" NA NA
"118.03" "-20.88" "004059" "MALLINA" "WA" "1900" "2011" "0.71" "40" NA
"120.3" "-21.8" "004060" "MIDDLE CREEK" "WA" "1904" "1915" "0.72" NA NA
"117.98" "-21.1" "004061" "MOUNT SATIRIST" "WA" "1912" "1947" "0.95" NA NA
"119.75" "-20.1" "004062" "MYADEE" "WA" "1913" "1942" "0.89" NA NA
"120.2" "-22.2" "004063" "POONDAWINDIE" "WA" "1930" "1938" "0.98" NA NA
"118.8" "-20.45" "004064" "POONDINIA" "WA" "1913" "1936" "0.98" NA NA
"121.1" "-22.7" "004065" "RPF 672 MILE" "WA" "1913" "1947" "0.96" NA NA
"121.2" "-21.2" "004066" "RPF 798 MILE" "WA" "1913" "1942" "0.92" NA NA
"119.3" "-20.55" "004067" "SHAW RIVER" "WA" "1917" "1942" "0.89" NA NA
"120.64" "-19.78" "004068" "WALLAL DOWNS" "WA" "1897" "2016" "0.8" "9" NA
"119.8" "-21.3" "004069" "WARRAWOONA" "WA" "1899" "1914" "0.56" NA NA
"119.7" "-20.9" "004070" "COONGAN HOTEL" "WA" "1895" "1931" "0.54" NA NA
"117.45" "-21.05" "004071" "PYRAMID 1" "WA" "1885" "1894" "0.58" NA NA
